State,Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status,Winning Candidate,Winning Party
S22,Tenkasi ,37,DHANUSH.M.KUMAR,Dravida Munnetra Kazhagam,Dr.KRISHNASAMY.K,All India Anna Dravida Munnetra Kazhagam,161774,Result Declared,VASANTHI.M,All India Anna Dravida Munnetra Kazhagam
S22,Thanjavur,30,"PALANIMANICKAM,S.S.",Dravida Munnetra Kazhagam,"NATARAJAN,N.R .",Tamil Maanila Congress  (Moopanar),144119,Result Declared,PARASURAMAN.K,All India Anna Dravida Munnetra Kazhagam
S22,Theni ,33,"RAVEENDRANATH KUMAR, P",All India Anna Dravida Munnetra Kazhagam,"ELANGOVAN, E.V.K.S.",Indian National Congress,314532,Result Declared,"PARTHIPAN, R.",All India Anna Dravida Munnetra Kazhagam
S22,Thiruvallur ,1,Dr.K.Jayakumar,Indian National Congress,Dr.P.Venugopal,All India Anna Dravida Munnetra Kazhagam,323430,Result Declared,VENUGOPAL.P.(DR),All India Anna Dravida Munnetra Kazhagam
S22,Thoothukkudi,36,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,DR. TAMILISAI SOUNDARARAJAN,Bharatiya Janata Party,124002,Result Declared,JEYASINGH THIYAGARAJ NATTERJEE.J,All India Anna Dravida Munnetra Kazhagam
S22,Tiruchirappalli,24,Thirunavukkarasar. SU,Indian National Congress,DR.Elangovan. V,Desiya Murpokku Dravida Kazhagam,150476,Result Declared,KUMAR.P,All India Anna Dravida Munnetra Kazhagam
S22,Tirunelveli,38,GNANATHIRAVIAM S,Dravida Munnetra Kazhagam,PAUL MANOJ PANDIAN,All India Anna Dravida Munnetra Kazhagam,126099,Result Declared,PRABAKARAN.K.R.P,All India Anna Dravida Munnetra Kazhagam
S22,Tiruppur,18,"SUBBARAYAN, K.",Communist Party of India,"ANANDAN, M.S.M.",All India Anna Dravida Munnetra Kazhagam,179315,Result Declared,V.SATHYABAMA,All India Anna Dravida Munnetra Kazhagam
S22,Tiruvannamalai,11,ANNADURAI C N,Dravida Munnetra Kazhagam,AGRI KRISHNAMURTHY S S,All India Anna Dravida Munnetra Kazhagam,168606,Result Declared,VANAROJA R,All India Anna Dravida Munnetra Kazhagam
S22,Viluppuram,13,RAVIKUMAR D,Dravida Munnetra Kazhagam,VADIVEL RAVANAN S,Pattali Makkal Katchi,193367,Result Declared,RAJENDRAN S,All India Anna Dravida Munnetra Kazhagam
S22,Virudhunagar,34,"MANICKAM TAGORE, B.",Indian National Congress,"ALAGARSAMY, R.",Desiya Murpokku Dravida Kazhagam,145551,Result Declared,RADHAKRISHNAN T,All India Anna Dravida Munnetra Kazhagam
S29,Nagarkurnool,12,POTHUGANTI RAMULU,Telangana Rashtra Samithi,DR MALLU RAVI,Indian National Congress,16676,Result Declared,YELLAIAH NANDI,Indian National Congress
S29,Nalgonda,13,UTTAM KUMAR REDDY NALAMADA,Indian National Congress,VEMIREDDY NARASIMHA REDDY,Telangana Rashtra Samithi,193156,Result Declared,GUTHA SUKHENDER REDDY,Indian National Congress
S29,Nizamabad,4,ARVIND DHARMAPURI,Bharatiya Janata Party,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi,167184,Result Declared,KALVAKUNTLA KAVITHA,Telangana Rashtra Samithi
S29,Peddapalle ,2,Venkatesh Netha Borlakunta,Telangana Rashtra Samithi,Agam Chandrasekhar,Indian National Congress,291158,Result Declared,BALKA SUMAN,Telangana Rashtra Samithi
S29,Secundrabad,8,G . KISHAN REDDY,Bharatiya Janata Party,TALASANI SAI KIRAN YADAV,Telangana Rashtra Samithi,254735,Result Declared,BANDARU DATTATREYA,Bharatiya Janata Party
S29,Warangal,15,DAYAKAR PASUNOORI,Telangana Rashtra Samithi,DOMMATI SAMBAIAH,Indian National Congress,392574,Result Declared,KADIYAM SRIHARI,Telangana Rashtra Samithi
S29,Zahirabad,5,B.B.PATIL,Telangana Rashtra Samithi,MADAN MOHAN RAO,Indian National Congress,144631,Result Declared,B.B. PATIL,Telangana Rashtra Samithi
S24,Baghpat,11,Dr. SATYAPAL SINGH,Bharatiya Janata Party,JAYANT CHAUDHARY,Rashtriya Lok Dal,209866,Result Declared,DR. SATYA PAL SINGH,Bharatiya Janata Party
S24,Bahraich,56,AKSHAIBAR LAL,Bharatiya Janata Party,SHABBIR BALMIKI,Samajwadi Party,95645,Result Declared,SADHVI SAVITRI BAI FOOLE,Bharatiya Janata Party
S24,Ballia,72,Virendra Singh,Bharatiya Janata Party,Sanatan Pandey,Samajwadi Party,139434,Result Declared,BHARAT SINGH,Bharatiya Janata Party
S24,Banda,48,R.K. SINGH PATEL,Bharatiya Janata Party,SHYAMA CHARAN GUPTA,Samajwadi Party,115788,Result Declared,BHAIRON PRASAD MISHRA,Bharatiya Janata Party
S24,Bansgaon,67,Kamlesh Paswan,Bharatiya Janata Party,Sadal Prasad,Bahujan Samaj Party,189516,Result Declared,KAMLESH PASWAN,Bharatiya Janata Party
S24,Barabanki,53,Upendra Singh Rawat,Bharatiya Janata Party,Ram Sagar Rawat,Samajwadi Party,211878,Result Declared,PRIYANKA SINGH RAWAT,Bharatiya Janata Party
S24,Bareilly,25,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party,BHAGWAT SARAN GANGWAR,Samajwadi Party,240685,Result Declared,SANTOSH KUMAR GANGWAR,Bharatiya Janata Party
S24,Basti,61,HARISH CHANDRA ALIAS HARISH DWIVEDI,Bharatiya Janata Party,RAM PRASAD CHAUDHARY,Bahujan Samaj Party,33562,Result Declared,HARISH CHANDRA  ALIAS  HARISH DWIVEDI,Bharatiya Janata Party
S24,Bhadohi,78,RAMESH CHAND,Bharatiya Janata Party,RANGNATH MISHRA,Bahujan Samaj Party,158141,Result Declared,VIRENDRA SINGH,Bharatiya Janata Party
S24,Bijnor,4,MALOOK NAGAR,Bahujan Samaj Party,RAJA BHARATENDRA SINGH,Bharatiya Janata Party,205774,Result Declared,KUNWAR BHARTENDRA,Bharatiya Janata Party
S24,Bulandshahr,14,BHOLA SINGH,Bharatiya Janata Party,YOGESH VERMA,Bahujan Samaj Party,421973,Result Declared,BHOLA SINGH,Bharatiya Janata Party
S24,Chandauli,76,Dr. Mahendra Nath Pandey,Bharatiya Janata Party,Sanjay Singh Chauhan,Samajwadi Party,156756,Result Declared,DR MAHENDRA NATH PANDEY,Bharatiya Janata Party
S24,Deoria,66,RAMAPATI RAM TRIPATHI,Bharatiya Janata Party,BINOD KUMAR JAISWAL,Bahujan Samaj Party,265386,Result Declared,KALRAJ MISHRA,Bharatiya Janata Party
S24,Dhaurahra,29,REKHA VERMA,Bharatiya Janata Party,ARSHAD ILIYAS SIDDIQUI,Bahujan Samaj Party,125675,Result Declared,REKHA,Bharatiya Janata Party
S24,Domariyaganj,60,JAGDAMBIKA PAL,Bharatiya Janata Party,AFTAB ALAM,Bahujan Samaj Party,103588,Result Declared,JAGDAMBIKA PAL,Bharatiya Janata Party
S24,Etah,22,Rajveer Singh (Raju Bhaiya),Bharatiya Janata Party,Ku. Devendra Singh Yadav,Samajwadi Party,201001,Result Declared,RAJVEER SINGH (RAJU BHAIYA),Bharatiya Janata Party
S24,Etawah,41,Dr RAM SHANKAR KATHERIA,Bharatiya Janata Party,KAMLESH KUMAR,Samajwadi Party,172946,Result Declared,ASHOK KUMAR DOHAREY,Bharatiya Janata Party
S24,Faizabad,54,LALLU SINGH,Bharatiya Janata Party,ANAND SEN,Samajwadi Party,282775,Result Declared,LALLU SINGH,Bharatiya Janata Party
S24,Farrukhabad,40,Mukesh Rajput,Bharatiya Janata Party,Manoj Agarwal,Bahujan Samaj Party,150502,Result Declared,MUKESH RAJPUT,Bharatiya Janata Party
S24,Fatehpur,49,NIRANJAN JYOTI,Bharatiya Janata Party,SUKHDEV PRASAD VERMA,Bahujan Samaj Party,187206,Result Declared,NIRANJAN JYOTI,Bharatiya Janata Party
S24,Fatehpur Sikri,19,RAJKUMAR CHAHAR,Bharatiya Janata Party,RAJ BABBAR,Indian National Congress,173106,Result Declared,BABULAL,Bharatiya Janata Party
S24,Firozabad,20,Dr. Chandra Sen Jadon,Bharatiya Janata Party,Akshay Yadav,Samajwadi Party,114059,Result Declared,AKSHAY YADAV,Samajwadi Party
S24,Gautam Buddha Nagar,13,Dr. MAHESH SHARMA,Bharatiya Janata Party,SATVEER,Bahujan Samaj Party,280212,Result Declared,DR.MAHESH  SHARMA,Bharatiya Janata Party
S24,Ghaziabad,12,Vijay Kumar Singh,Bharatiya Janata Party,Suresh Bansal,Samajwadi Party,567260,Result Declared,VIJAY KUMAR SINGH,Bharatiya Janata Party
S24,Ghazipur,75,AFZAL ANSARI,Bahujan Samaj Party,MANOJ SINHA,Bharatiya Janata Party,32452,Result Declared,MANOJ SINHA,Bharatiya Janata Party
S24,Ghosi,70,ATUL KUMAR SINGH,Bahujan Samaj Party,HARINARAYAN,Bharatiya Janata Party,146015,Result Declared,HARINARAYAN RAJBHAR,Bharatiya Janata Party
S24,Gonda,59,KIRTI VARDHAN SINGH ALIAS RAJA BHAIYA,Bharatiya Janata Party,VINOD KUMAR ALIAS PANDIT SINGH,Samajwadi Party,160412,Result Declared,KIRTI VARDHAN SINGH,Bharatiya Janata Party
S24,Gorakhpur,64,Ravindra Shyamnarayan Shukla alias Ravi Kishan,Bharatiya Janata Party,Rambhual Nishad,Samajwadi Party,312783,Result Declared,ADITYANATH,Bharatiya Janata Party
S24,Hamirpur,47,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party,DILIP KUMAR SINGH,Bahujan Samaj Party,266788,Result Declared,KUNWAR PUSHPENDRA SINGH CHANDEL,Bharatiya Janata Party
S24,Hardoi,31,Jai Prakash,Bharatiya Janata Party,Usha Verma,Samajwadi Party,81343,Result Declared,ANSHUL VERMA,Bharatiya Janata Party
S24,Hathras,16,RAJVIR DILER,Bharatiya Janata Party,RAMJI LAL SUMAN,Samajwadi Party,326386,Result Declared,RAJESH KUMAR DIWAKER,Bharatiya Janata Party
S24,Jalaun,45,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party,AJAY SINGH (PANKAJ),Bahujan Samaj Party,287202,Result Declared,BHANU PRATAP SINGH VERMA,Bharatiya Janata Party
S24,Jaunpur,73,SHYAM SINGH YADAV,Bahujan Samaj Party,KRISHNA PRATAP SINGH K.P.,Bharatiya Janata Party,146310,Result Declared,KRISHNA PRATAP ''''''''K.P.'''''''',Bharatiya Janata Party
S24,Jhansi,46,Anurag Sharma,Bharatiya Janata Party,Shyam Sundar Singh,Samajwadi Party,190467,Result Declared,UMA BHARATI,Bharatiya Janata Party
S24,Kairana,2,Pradeep Kumar,Bharatiya Janata Party,Tabassum Begum,Samajwadi Party,236828,Result Declared,HUKUM SINGH,Bharatiya Janata Party
S24,Kaiserganj,57,Brijbhusan Sharan Singh,Bharatiya Janata Party,Chandradev Ram Yadav,Bahujan Samaj Party,78218,Result Declared,BRIJ BHUSAN SHARAN SINGH,Bharatiya Janata Party
S24,Kannauj,42,SUBRAT PATHAK,Bharatiya Janata Party,DIMPLE YADAV,Samajwadi Party,19907,Result Declared,DIMPLE YADAV,Samajwadi Party
S24,Kanpur,43,Satyadev Pachauri,Bharatiya Janata Party,Sriprakash Jaiswal,Indian National Congress,222946,Result Declared,DR.MURLI MANOHAR JOSHI,Bharatiya Janata Party
S24,Kaushambi,50,VINOD KUMAR SONKAR,Bharatiya Janata Party,INDRAJEET SAROJ,Samajwadi Party,42900,Result Declared,VINOD KUMAR SONKAR,Bharatiya Janata Party
S24,Kheri,28,Ajay Kumar,Bharatiya Janata Party,Dr. Purvi Verma,Samajwadi Party,110274,Result Declared,AJAY KUMAR,Bharatiya Janata Party
S24,Kushi Nagar,65,VIJAY KUMAR DUBEY,Bharatiya Janata Party,N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA,Samajwadi Party,85540,Result Declared,RAJESH PANDEY URF GUDDU,Bharatiya Janata Party
S24,Lalganj,68,Sangeeta Azad,Bahujan Samaj Party,Neelam Sonker,Bharatiya Janata Party,63086,Result Declared,NEELAM SONKAR,Bharatiya Janata Party
S24,Lucknow,35,Rajnath Singh,Bharatiya Janata Party,Poonam Shatrughan Sinha,Samajwadi Party,272749,Result Declared,RAJ NATH SINGH,Bharatiya Janata Party
S24,Machhlishahr,74,Bholanath (B.P. Saroj),Bharatiya Janata Party,Tribhuvan Ram (T.Ram),Bahujan Samaj Party,172155,Result Declared,RAM CHARITRA NISHAD,Bharatiya Janata Party
S24,Maharajganj,63,PANKAJ CHOUDHARY,Bharatiya Janata Party,AKHILESH,Samajwadi Party,240458,Result Declared,PANKAJ,Bharatiya Janata Party
S24,Mainpuri,21,MULAYAM SINGH YADAV,Samajwadi Party,PREM SINGH SHAKYA,Bharatiya Janata Party,364666,Result Declared,MULAYAM SINGH YADAV,Samajwadi Party
S24,Mathura,17,HEMA MALINI,Bharatiya Janata Party,KUNWAR NARENDRA SINGH,Rashtriya Lok Dal,330743,Result Declared,HEMA MALINI,Bharatiya Janata Party
S24,Meerut,10,RAJENDRA AGARWAL,Bharatiya Janata Party,HAJI MOHAMMAD YAQOOB,Bahujan Samaj Party,232326,Result Declared,RAJENDRA AGARWAL,Bharatiya Janata Party
S24,Mirzapur,79,Anupriya Singh Patel,Apna Dal (Soneylal),Ramcharitra Nishad,Samajwadi Party,219079,Result Declared,ANUPRIYA SINGH PATEL,Apna Dal
S24,Misrikh,32,Ashok Kumar Rawat,Bharatiya Janata Party,Dr Neelu Satyarthi,Bahujan Samaj Party,87363,Result Declared,ANJU BALA,Bharatiya Janata Party
S24,Mohanlalganj,34,Kaushal Kishore,Bharatiya Janata Party,C. L. Verma,Bahujan Samaj Party,145416,Result Declared,KAUSHAL KISHORE,Bharatiya Janata Party
S24,Moradabad,6,Dr. S.T. HASAN,Samajwadi Party,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,87504,Result Declared,KUNWER SARVESH KUMAR,Bharatiya Janata Party
S24,Muzaffarnagar,3,Sanjeev Kumar Balyan,Bharatiya Janata Party,Ajit Singh,Rashtriya Lok Dal,401150,Result Declared,(DR.) SANJEEV KUMAR BALYAN,Bharatiya Janata Party
S24,Nagina,5,GIRISH CHANDRA,Bahujan Samaj Party,DR. YASHWANT SINGH,Bharatiya Janata Party,92390,Result Declared,YASHWANT SINGH,Bharatiya Janata Party
S24,Phulpur,51,Keshari Devi Patel,Bharatiya Janata Party,Pandhari Yadav,Samajwadi Party,308308,Result Declared,KESHAV PRASAD MAURYA,Bharatiya Janata Party
S24,Pilibhit,26,Feroze Varun Gandhi,Bharatiya Janata Party,Hemraj Verma,Samajwadi Party,307052,Result Declared,MANEKA SANJAY GANDHI,Bharatiya Janata Party
S24,Pratapgarh,39,SANGAM LAL GUPTA,Bharatiya Janata Party,ASHOK TRIPATHI,Bahujan Samaj Party,168222,Result Declared,KUWAR HARIVANSH SINGH,Apna Dal
S24,Rae Bareli,36,SONIA GANDHI,Indian National Congress,DINESH PRATAP SINGH,Bharatiya Janata Party,352713,Result Declared,SONIA GANDHI,Indian National Congress
S24,Rampur,7,Mohammad Azam Khan,Samajwadi Party,Jayaprada Nahata,Bharatiya Janata Party,23435,Result Declared,DR. NEPAL SINGH,Bharatiya Janata Party
S24,Robertsganj,80,PAKAURI LAL KOL,Apna Dal (Soneylal),BHAI LAL,Samajwadi Party,190486,Result Declared,CHHOTELAL,Bharatiya Janata Party
S24,Saharanpur,1,HAJI FAZLUR REHMAN,Bahujan Samaj Party,RAGHAV LAKHANPAL,Bharatiya Janata Party,65090,Result Declared,RAGHAV LAKHANPAL,Bharatiya Janata Party
S24,Salempur,71,RAVINDER,Bharatiya Janata Party,R S KUSHWAHA,Bahujan Samaj Party,232342,Result Declared,RAVINDRA KUSHAWAHA,Bharatiya Janata Party
S24,Sambhal,8,DR. SHAFIQUR REHMAN BARQ,Samajwadi Party,PARAMESHVAR LAL SAINI,Bharatiya Janata Party,5174,Result Declared,SATYAPAL SINGH,Bharatiya Janata Party
S24,Sant Kabir Nagar,62,PRAVEEN KUMAR NISHAD,Bharatiya Janata Party,BHEESHMA SHANKAR,Bahujan Samaj Party,97978,Result Declared,SHARAD TRIPATHI,Bharatiya Janata Party
S24,Shahjahanpur,27,Arun Kumar Sagar,Bharatiya Janata Party,Amar Chandra Jauhar,Bahujan Samaj Party,235529,Result Declared,KRISHNA RAJ,Bharatiya Janata Party
S24,Shrawasti,58,RAM SHIROMANI,Bahujan Samaj Party,DADDAN MISHRA,Bharatiya Janata Party,85913,Result Declared,DADDAN MISHRA,Bharatiya Janata Party
S24,Sitapur,30,Rajesh Verma,Bharatiya Janata Party,Nakul Dubey,Bahujan Samaj Party,51027,Result Declared,RAJESH VERMA,Bharatiya Janata Party
S24,Sultanpur,38,MANEKA SANJAI GANDHI,Bharatiya Janata Party,"CHANDRA BHADRA SINGH ""SSONU""",Bahujan Samaj Party,178902,Result Declared,FEROZE VARUN GANDHI,Bharatiya Janata Party
S24,Unnao,33,Swami Sakshi Ji Maharaj,Bharatiya Janata Party,Arun Shanker Shukla,Samajwadi Party,310173,Result Declared,SAKSHI MAHARAJ,Bharatiya Janata Party
S24,Varanasi,77,NARENDRA MODI,Bharatiya Janata Party,SHALINI YADAV,Samajwadi Party,371784,Result Declared,NARENDRA MODI,Bharatiya Janata Party
S25,Basirhat,18,Nusrat Jahan Ruhi,All India Trinamool Congress,Sayantan Basu,Bharatiya Janata Party,109659,Result Declared,IDRIS ALI,All India Trinamool Congress
S25,Birbhum,42,SATABDI ROY,All India Trinamool Congress,DUDH KUMAR MONDAL,Bharatiya Janata Party,67263,Result Declared,SATABDI ROY,All India Trinamool Congress
S25,Bishnupur,37,KHAN SAUMITRA,Bharatiya Janata Party,SHYAMAL SANTRA,All India Trinamool Congress,149685,Result Declared,KHAN SAUMITRA,All India Trinamool Congress
S25,Bolpur,41,ASIT KUMAR MAL,All India Trinamool Congress,DAS RAMPRASAD,Bharatiya Janata Party,236112,Result Declared,ANUPAM HAZRA,All India Trinamool Congress
S25,Burdwan - durgapur,39,S.S AHLUWALIA,Bharatiya Janata Party,DR. MAMTAZ SANGHAMITA,All India Trinamool Congress,107331,Result Declared,DR. MAMTAZ SANGHAMITA,All India Trinamool Congress
S25,Cooch behar,1,NISITH PRAMANIK,Bharatiya Janata Party,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,87107,Result Declared,RENUKA SINHA,All India Trinamool Congress
S25,Darjeeling,4,RAJU BISTA,Bharatiya Janata Party,AMAR SINGH RAI,All India Trinamool Congress,197239,Result Declared,S.S.AHLUWALIA,Bharatiya Janata Party
S25,Diamond harbour,21,ABHISHEK BANERJEE,All India Trinamool Congress,NILANJAN ROY,Bharatiya Janata Party,71298,Result Declared,ABHISHEK BANERJEE,All India Trinamool Congress
S25,Dum dum,16,SOUGATA RAY,All India Trinamool Congress,SAMIK BHATTACHARYA,Bharatiya Janata Party,154934,Result Declared,SAUGATA ROY,All India Trinamool Congress
S25,Ghatal,32,ADHIKARI DEEPAK (DEV),All India Trinamool Congress,BHARATI GHOSH,Bharatiya Janata Party,260891,Result Declared,ADHIKARI DEEPAK (DEV),All India Trinamool Congress
S25,Hooghly,28,LOCKET CHATTERJEE,Bharatiya Janata Party,DR. RATNA DE (NAG),All India Trinamool Congress,189084,Result Declared,DR. RATNA DE (NAG),All India Trinamool Congress
S25,Howrah,25,Prasun Banerjee,All India Trinamool Congress,Rantidev Sengupta,Bharatiya Janata Party,196956,Result Declared,PRASUN BANERJEE,All India Trinamool Congress
S25,Jadavpur,22,MIMI CHAKRABORTY,All India Trinamool Congress,ANUPAM HAZRA,Bharatiya Janata Party,125203,Result Declared,SUGATA BOSE,All India Trinamool Congress
S25,Jalpaiguri,3,Dr. JAYANTA KUMAR ROY,Bharatiya Janata Party,BIJOY CHANDRA BARMAN,All India Trinamool Congress,69606,Result Declared,BIJOY CHANDRA BARMAN,All India Trinamool Congress
S25,Jangipur,9,KHALILUR RAHAMAN,All India Trinamool Congress,MAFUJA KHATUN,Bharatiya Janata Party,8161,Result Declared,ABHIJIT MUKHERJEE,Indian National Congress
S25,Jhargram,33,Kunar Hembram,Bharatiya Janata Party,Birbaha Saren,All India Trinamool Congress,347883,Result Declared,UMA SAREN,All India Trinamool Congress
S25,Joynagar,19,PRATIMA MONDAL,All India Trinamool Congress,DR. ASHOK KANDARY,Bharatiya Janata Party,108384,Result Declared,PRATIMA MONDAL,All India Trinamool Congress
S25,Kanthi,31,Adhikari Sisir,All India Trinamool Congress,Dr. Debasis Samanta,Bharatiya Janata Party,229490,Result Declared,ADHIKARI SISIR KUMAR,All India Trinamool Congress
S25,Kolkata Dakshin,23,Mala Roy,All India Trinamool Congress,Chandra Kumar Bose,Bharatiya Janata Party,136339,Result Declared,SUBRATA BAKSHI,All India Trinamool Congress
S25,Kolkata Uttar,24,BANDYOPADHYAY SUDIP,All India Trinamool Congress,RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,96226,Result Declared,SUDIP BANDYOPADHYAY,All India Trinamool Congress
S25,Krishnanagar,12,MAHUA MOITRA,All India Trinamool Congress,KALYAN CHAUBEY,Bharatiya Janata Party,71255,Result Declared,TAPAS PAUL,All India Trinamool Congress
S25,Maldaha Dakshin,8,ABU HASEM KHAN CHOWDHURY (DALU),Indian National Congress,SREERUPA MITRA CHAUDHURY,Bharatiya Janata Party,164111,Result Declared,ABU HASEM KHAN CHOWDHURY,Indian National Congress
S25,Maldaha Uttar,7,KHAGEN MURMU,Bharatiya Janata Party,MAUSAM NOOR,All India Trinamool Congress,65705,Result Declared,MAUSAM NOOR,Indian National Congress
S25,Mathurapur,20,CHOUDHURY MOHAN JATUA,All India Trinamool Congress,SHYAMAPRASAD HALDER,Bharatiya Janata Party,138768,Result Declared,CHOUDHURY MOHAN JATUA,All India Trinamool Congress
S25,Medinipur,34,Dilip Ghosh,Bharatiya Janata Party,Manas Ranjan Bhunia,All India Trinamool Congress,185128,Result Declared,SANDHYA ROY,All India Trinamool Congress
S25,Murshidabad,11,ABU TAHER KHAN,All India Trinamool Congress,"ABU HENA, S/O - LATE ABDUS SATTAR",Indian National Congress,18453,Result Declared,BADARUDDOZA KHAN,Communist Party of India  (Marxist)
S25,Purulia,35,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,Dr. MRIGANKA MAHATO,All India Trinamool Congress,153877,Result Declared,DR. MRIGANKA MAHATO,All India Trinamool Congress
S25,Raiganj,5,DEBASREE CHAUDHURI,Bharatiya Janata Party,AGARWAL KANAIALAL,All India Trinamool Congress,1634,Result Declared,MD. SALIM,Communist Party of India  (Marxist)
S25,Ranaghat,13,JAGANNATH SARKAR,Bharatiya Janata Party,RUPALI BISWAS,All India Trinamool Congress,201767,Result Declared,TAPAS MANDAL,All India Trinamool Congress
S25,Srerampur,27,KALYAN BANERJEE,All India Trinamool Congress,DEBJIT SARKAR,Bharatiya Janata Party,152526,Result Declared,KALYAN BANERJEE,All India Trinamool Congress
S25,Tamluk,30,Adhikari Dibyendu,All India Trinamool Congress,Sidharthashankar Naskar,Bharatiya Janata Party,246481,Result Declared,ADHIKARI SUVENDU,All India Trinamool Congress
S25,Uluberia,26,SAJDA AHMED,All India Trinamool Congress,JOY BANERJEE,Bharatiya Janata Party,201222,Result Declared,SULTAN AHMED,All India Trinamool Congress
